row_index,trajectory_key,payload_token_count,chunk_count,embedding_norm
31,visualwebarena::visualwebarena.248::GenericAgent-anthropic_claude-3.7-sonnet,4689,1,1.0
32,visualwebarena::visualwebarena.248::GenericAgent-gpt-4o-2024-11-20,4966,1,1.0
33,visualwebarena::visualwebarena.352::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,19206,3,1.0
34,visualwebarena::visualwebarena.352::GenericAgent-anthropic_claude-3.7-sonnet,34818,5,1.0
35,visualwebarena::visualwebarena.352::GenericAgent-gpt-4o-2024-11-20,17340,3,0.9999999403953552
36,visualwebarena::visualwebarena.419::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,36988,5,1.0
37,visualwebarena::visualwebarena.419::GenericAgent-anthropic_claude-3.7-sonnet,5367,1,0.9999999403953552
38,visualwebarena::visualwebarena.419::GenericAgent-gpt-4o-2024-11-20,38510,5,1.0
39,visualwebarena::visualwebarena.525::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,2552,1,1.0
40,visualwebarena::visualwebarena.525::GenericAgent-anthropic_claude-3.7-sonnet,2631,1,1.0
41,visualwebarena::visualwebarena.525::GenericAgent-gpt-4o-2024-11-20,2576,1,1.0
42,visualwebarena::visualwebarena.64::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,21385,3,1.0
43,visualwebarena::visualwebarena.64::GenericAgent-anthropic_claude-3.7-sonnet,4384,1,1.0
44,visualwebarena::visualwebarena.64::GenericAgent-gpt-4o-2024-11-20,10961,2,1.0
45,visualwebarena::visualwebarena.739::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,5059,1,1.0
46,visualwebarena::visualwebarena.739::GenericAgent-anthropic_claude-3.7-sonnet,11352,2,1.0
47,visualwebarena::visualwebarena.739::GenericAgent-gpt-4o-2024-11-20,9862,2,1.0
48,webarena::webarena.15::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,49406,7,1.0
49,webarena::webarena.15::GenericAgent-anthropic_claude-3.7-sonnet,10829,2,1.0
50,webarena::webarena.15::GenericAgent-gpt-4o-2024-11-20,9901,2,1.0
51,webarena::webarena.15::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,15037,2,1.0
52,webarena::webarena.171::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,63771,8,0.9999998807907104
53,webarena::webarena.171::GenericAgent-anthropic_claude-3.7-sonnet,7782,1,1.0
54,webarena::webarena.171::GenericAgent-gpt-4o-2024-11-20,4865,1,1.0
55,webarena::webarena.171::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,9438,2,1.0
56,webarena::webarena.265::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,26277,4,1.0
57,webarena::webarena.265::GenericAgent-anthropic_claude-3.7-sonnet,2458,1,1.0
58,webarena::webarena.265::GenericAgent-gpt-4o-2024-11-20,8344,2,1.0
59,webarena::webarena.265::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,4986,1,1.0
60,webarena::webarena.27::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,12542,2,1.0
61,webarena::webarena.27::GenericAgent-anthropic_claude-3.7-sonnet,58018,8,1.0
62,webarena::webarena.27::GenericAgent-gpt-4o-2024-11-20,69314,9,1.0
63,webarena::webarena.27::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,64105,8,0.9999999403953552
64,webarena::webarena.306::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,54501,7,1.0
65,webarena::webarena.306::GenericAgent-anthropic_claude-3.7-sonnet,44474,6,1.0
66,webarena::webarena.306::GenericAgent-gpt-4o-2024-11-20,41355,6,1.0
67,webarena::webarena.306::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,46279,6,0.9999999403953552
68,webarena::webarena.327::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,50817,7,1.0
69,webarena::webarena.327::GenericAgent-anthropic_claude-3.7-sonnet,7730,1,1.0
70,webarena::webarena.327::GenericAgent-gpt-4o-2024-11-20,8995,2,0.9999999403953552
71,webarena::webarena.327::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,15877,2,1.0
72,webarena::webarena.33::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,33935,5,0.9999999403953552
73,webarena::webarena.33::GenericAgent-anthropic_claude-3.7-sonnet,7496,1,1.0
74,webarena::webarena.33::GenericAgent-gpt-4o-2024-11-20,2752,1,1.0
75,webarena::webarena.33::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,4329,1,1.0
76,webarena::webarena.344::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,8044,1,1.0
77,webarena::webarena.344::GenericAgent-anthropic_claude-3.7-sonnet,6049,1,1.0
78,webarena::webarena.344::GenericAgent-gpt-4o-2024-11-20,5978,1,1.0
79,webarena::webarena.344::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,11335,2,1.0
80,webarena::webarena.370::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,2261,1,1.0
81,webarena::webarena.370::GenericAgent-anthropic_claude-3.7-sonnet,2261,1,1.0
82,webarena::webarena.370::GenericAgent-gpt-4o-2024-11-20,2261,1,1.0
83,webarena::webarena.370::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,2883,1,0.9999999403953552
84,webarena::webarena.380::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,22804,3,0.9999999403953552
85,webarena::webarena.380::GenericAgent-anthropic_claude-3.7-sonnet,10301,2,1.0
86,webarena::webarena.380::GenericAgent-gpt-4o-2024-11-20,8523,2,0.9999999403953552
87,webarena::webarena.380::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,12762,2,0.9999999403953552
88,webarena::webarena.416::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,96898,12,0.9999999403953552
89,webarena::webarena.416::GenericAgent-anthropic_claude-3.7-sonnet,82296,11,1.0
90,webarena::webarena.416::GenericAgent-gpt-4o-2024-11-20,89584,11,1.0
91,webarena::webarena.416::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,58241,8,1.0
92,webarena::webarena.427::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,2771,1,1.0000001192092896
93,webarena::webarena.427::GenericAgent-anthropic_claude-3.7-sonnet,2137,1,0.9999999403953552
94,webarena::webarena.427::GenericAgent-gpt-4o-2024-11-20,2760,1,1.0
95,webarena::webarena.427::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,6144,1,1.0
96,webarena::webarena.430::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,11716,2,1.0
97,webarena::webarena.430::GenericAgent-anthropic_claude-3.7-sonnet,14887,2,1.0
98,webarena::webarena.430::GenericAgent-gpt-4o-2024-11-20,19962,3,1.0
99,webarena::webarena.430::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,16278,2,1.0
100,webarena::webarena.578::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,54190,7,1.0
101,webarena::webarena.578::GenericAgent-anthropic_claude-3.7-sonnet,76427,10,1.0
102,webarena::webarena.578::GenericAgent-gpt-4o-2024-11-20,58897,8,1.0
103,webarena::webarena.578::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,55394,7,1.0
104,webarena::webarena.583::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,7138,1,1.0
105,webarena::webarena.583::GenericAgent-anthropic_claude-3.7-sonnet,5497,1,1.0
106,webarena::webarena.583::GenericAgent-gpt-4o-2024-11-20,6436,1,1.0
107,webarena::webarena.583::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,29411,4,1.0
108,webarena::webarena.586::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,29453,4,1.0
109,webarena::webarena.586::GenericAgent-anthropic_claude-3.7-sonnet,13911,2,1.0
110,webarena::webarena.586::GenericAgent-gpt-4o-2024-11-20,65621,9,1.0
111,webarena::webarena.586::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,30329,4,1.0
112,webarena::webarena.604::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,6414,1,1.0
113,webarena::webarena.604::GenericAgent-anthropic_claude-3.7-sonnet,4712,1,1.0
114,webarena::webarena.604::GenericAgent-gpt-4o-2024-11-20,5195,1,1.0
115,webarena::webarena.604::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,46601,6,1.0
116,webarena::webarena.629::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,30079,4,1.0
117,webarena::webarena.629::GenericAgent-anthropic_claude-3.7-sonnet,4225,1,1.0
118,webarena::webarena.629::GenericAgent-gpt-4o-2024-11-20,4188,1,1.0
119,webarena::webarena.629::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,26075,4,1.0
120,webarena::webarena.666::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,51151,7,1.0
121,webarena::webarena.666::GenericAgent-anthropic_claude-3.7-sonnet,46995,6,1.0
122,webarena::webarena.666::GenericAgent-gpt-4o-2024-11-20,68703,9,1.0
123,webarena::webarena.666::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,73323,9,0.9999999403953552
124,webarena::webarena.690::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,8353,2,1.0
125,webarena::webarena.690::GenericAgent-anthropic_claude-3.7-sonnet,5339,1,1.0
126,webarena::webarena.690::GenericAgent-gpt-4o-2024-11-20,5094,1,1.0
127,webarena::webarena.690::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,20944,3,1.0
128,webarena::webarena.740::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,8778,2,0.9999999403953552
129,webarena::webarena.740::GenericAgent-anthropic_claude-3.7-sonnet,4563,1,0.9999999403953552
130,webarena::webarena.740::GenericAgent-gpt-4o-2024-11-20,4549,1,1.0
131,webarena::webarena.740::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,5268,1,1.0
132,webarena::webarena.778::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,35064,5,0.9999999403953552
133,webarena::webarena.778::GenericAgent-anthropic_claude-3.7-sonnet,34529,5,0.9999999403953552
134,webarena::webarena.778::GenericAgent-gpt-4o-2024-11-20,36184,5,0.9999999403953552
135,webarena::webarena.778::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,33081,5,1.0
136,workarena::workarena.servicenow.create-user::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,21565,3,1.0
137,workarena::workarena.servicenow.create-user::GenericAgent-anthropic_claude-3.7-sonnet,21640,3,1.0
138,workarena::workarena.servicenow.create-user::GenericAgent-gpt-4o-2024-11-20,21586,3,1.0
139,workarena::workarena.servicenow.create-user::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,30586,4,1.0
140,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-development-laptop-p-c-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,39349,5,1.0
141,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-development-laptop-p-c-l2::GenericAgent-anthropic_claude-3.7-sonnet,35305,5,1.0
142,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-development-laptop-p-c-l2::GenericAgent-gpt-4o-2024-11-20,52299,7,0.9999999403953552
143,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-development-laptop-p-c-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,49755,7,1.0
144,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-standard-laptop-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,38053,5,0.9999999403953552
145,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-standard-laptop-l2::GenericAgent-anthropic_claude-3.7-sonnet,36577,5,0.9999999403953552
146,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-standard-laptop-l2::GenericAgent-gpt-4o-2024-11-20,48921,6,1.0
147,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-standard-laptop-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,49912,7,1.0
148,workarena::workarena.servicenow.dashboard-retrieve-incident-and-max-request-galaxy-note20-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,39598,5,1.0
149,workarena::workarena.servicenow.dashboard-retrieve-incident-and-max-request-galaxy-note20-l2::GenericAgent-anthropic_claude-3.7-sonnet,34800,5,1.0
150,workarena::workarena.servicenow.dashboard-retrieve-incident-and-max-request-galaxy-note20-l2::GenericAgent-gpt-4o-2024-11-20,52550,7,0.9999999403953552
151,workarena::workarena.servicenow.dashboard-retrieve-incident-and-max-request-galaxy-note20-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,44906,6,1.0
152,workarena::workarena.servicenow.filter-requested-items-and-order-apple-mac-book-pro15-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,146534,18,1.0
153,workarena::workarena.servicenow.filter-requested-items-and-order-apple-mac-book-pro15-l2::GenericAgent-anthropic_claude-3.7-sonnet,44876,6,1.0
154,workarena::workarena.servicenow.filter-requested-items-and-order-apple-mac-book-pro15-l2::GenericAgent-gpt-4o-2024-11-20,160577,20,1.0
155,workarena::workarena.servicenow.filter-requested-items-and-order-apple-mac-book-pro15-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,68870,9,1.0
156,workarena::workarena.servicenow.filter-three-items-uniform-expenses-and-find-total-return-large-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,34318,5,1.0
157,workarena::workarena.servicenow.filter-three-items-uniform-expenses-and-find-total-return-large-l2::GenericAgent-anthropic_claude-3.7-sonnet,81821,10,1.0
158,workarena::workarena.servicenow.filter-three-items-uniform-expenses-and-find-total-return-large-l2::GenericAgent-gpt-4o-2024-11-20,125851,16,1.0
159,workarena::workarena.servicenow.filter-three-items-uniform-expenses-and-find-total-return-large-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,50391,7,1.0
160,workarena::workarena.servicenow.filter-trivial-expenses-find-total-return-and-select-investments-medium-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,55321,7,1.0
161,workarena::workarena.servicenow.filter-trivial-expenses-find-total-return-and-select-investments-medium-l2::GenericAgent-anthropic_claude-3.7-sonnet,67148,9,1.0
162,workarena::workarena.servicenow.filter-trivial-expenses-find-total-return-and-select-investments-medium-l2::GenericAgent-gpt-4o-2024-11-20,144374,18,0.9999999403953552
163,workarena::workarena.servicenow.filter-trivial-expenses-find-total-return-and-select-investments-medium-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,123203,16,1.0
164,workarena::workarena.servicenow.get-warranty-expiration-date-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,148238,19,0.9999999403953552
165,workarena::workarena.servicenow.get-warranty-expiration-date-l2::GenericAgent-anthropic_claude-3.7-sonnet,86780,11,0.9999999403953552
166,workarena::workarena.servicenow.get-warranty-expiration-date-l2::GenericAgent-gpt-4o-2024-11-20,149368,19,0.9999999403953552
167,workarena::workarena.servicenow.get-warranty-expiration-date-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,70223,9,1.0
168,workarena::workarena.servicenow.high-priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,115204,15,1.0
169,workarena::workarena.servicenow.high-priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-anthropic_claude-3.7-sonnet,102964,13,1.0
170,workarena::workarena.servicenow.high-priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-gpt-4o-2024-11-20,105616,13,1.0
171,workarena::workarena.servicenow.high-priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,56053,7,1.0
172,workarena::workarena.servicenow.infeasible-navigate-and-create-hardware-asset-with-reason-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,39287,5,1.0
173,workarena::workarena.servicenow.infeasible-navigate-and-create-hardware-asset-with-reason-l2::GenericAgent-anthropic_claude-3.7-sonnet,68465,9,1.0
174,workarena::workarena.servicenow.infeasible-navigate-and-create-hardware-asset-with-reason-l2::GenericAgent-gpt-4o-2024-11-20,67523,9,1.0
175,workarena::workarena.servicenow.infeasible-navigate-and-create-hardware-asset-with-reason-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,64048,8,1.0
176,workarena::workarena.servicenow.navigate-and-order-apple-mac-book-pro15-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,11614,2,1.0
177,workarena::workarena.servicenow.navigate-and-order-apple-mac-book-pro15-l2::GenericAgent-anthropic_claude-3.7-sonnet,11240,2,1.0
178,workarena::workarena.servicenow.navigate-and-order-apple-mac-book-pro15-l2::GenericAgent-gpt-4o-2024-11-20,18301,3,1.0
179,workarena::workarena.servicenow.navigate-and-order-apple-mac-book-pro15-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,13872,2,1.0
180,workarena::workarena.servicenow.navigate-and-order-loaner-laptop-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,15277,2,1.0
181,workarena::workarena.servicenow.navigate-and-order-loaner-laptop-l2::GenericAgent-anthropic_claude-3.7-sonnet,14069,2,1.0
182,workarena::workarena.servicenow.navigate-and-order-loaner-laptop-l2::GenericAgent-gpt-4o-2024-11-20,13910,2,0.9999999403953552
183,workarena::workarena.servicenow.navigate-and-order-loaner-laptop-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,25278,4,1.0
184,workarena::workarena.servicenow.priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,117495,15,1.0
185,workarena::workarena.servicenow.priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-anthropic_claude-3.7-sonnet,94706,12,1.0
186,workarena::workarena.servicenow.priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-gpt-4o-2024-11-20,115856,15,0.9999999403953552
187,workarena::workarena.servicenow.priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,112677,14,1.0
188,workarena::workarena.servicenow.sort-user-list::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,79852,10,0.9999999403953552
189,workarena::workarena.servicenow.sort-user-list::GenericAgent-anthropic_claude-3.7-sonnet,94350,12,1.0
190,workarena::workarena.servicenow.sort-user-list::GenericAgent-gpt-4o-2024-11-20,77946,10,1.0
191,workarena::workarena.servicenow.sort-user-list::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,91389,12,0.9999999403953552
192,workarena::workarena.servicenow.three-changes-fix-wide-priority-uniform-risk-change-request-scheduling-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,31925,4,1.0
193,workarena::workarena.servicenow.three-changes-fix-wide-priority-uniform-risk-change-request-scheduling-l2::GenericAgent-anthropic_claude-3.7-sonnet,129625,16,1.0
194,workarena::workarena.servicenow.three-changes-fix-wide-priority-uniform-risk-change-request-scheduling-l2::GenericAgent-gpt-4o-2024-11-20,51876,7,1.0
195,workarena::workarena.servicenow.three-changes-fix-wide-priority-uniform-risk-change-request-scheduling-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,94506,12,1.0
